f,phi,mod
0.001,0,0
0.005,-46800,7.6
0.01,-25200,15.2
0.02,-12400,33
0.05,-4880,76
0.1,-2440,164
0.2,-1150,312
0.5,-400,800
1,-146,1520
2.25 ,0 ,2400 
3 ,21 ,2260 
4 ,28 ,1880 
5 ,28 ,1560 
10 ,20.4 ,780 
20 ,13.2,296 
30 ,9.2 ,160 
50,-3.2,18.4
