t,CH1 [uV],CH2 [uV]
332,40000,1680000
333,-40000,1560000
334,40000,1640000
335,-40000,1520000
336,0,1600000
337,40000,1520000
338,40000,1600000
339,-40000,1480000
340,40000,1560000
341,-40000,1440000
342,40000,1520000
343,-40000,1440000
344,40000,1520000
345,-40000,1440000
346,40000,1400000
347,0,1520000
348,40000,1480000
349,-40000,1360000
350,40000,1440000
351,-40000,1360000
352,40000,1440000
353,-40000,1320000
354,40000,1400000
355,-40000,1320000
356,80000,1400000
357,-40000,1280000
358,40000,1280000
359,-40000,1400000
360,40000,1360000
361,-40000,1240000
362,40000,1320000
363,-40000,1240000
364,40000,1320000
365,-40000,1200000
366,40000,1320000
367,-40000,1200000
368,40000,1280000
369,-40000,1200000
370,40000,1280000
371,-40000,1160000
372,40000,1240000
373,-40000,1160000
374,40000,1160000
375,-40000,1240000
376,40000,1120000
377,-40000,1240000
378,40000,1200000
379,-40000,1120000
380,40000,1200000
381,-40000,1080000
382,0,1160000
383,40000,1080000
384,40000,1160000
385,-40000,1040000
386,40000,1040000
387,-40000,1160000
388,40000,1120000
389,-40000,1000000
390,40000,1120000
391,-40000,1000000
392,40000,1080000
393,0,1000000
394,40000,1080000
395,-40000,960000
396,40000,1080000
397,-40000,960000
398,40000,1040000
399,-40000,960000
400,40000,1040000
401,-40000,920000
402,40000,1000000
403,-40000,920000
404,40000,1000000
405,-40000,920000
406,40000,1000000
407,0,880000
408,40000,880000
409,-40000,1000000
410,40000,880000
411,-40000,960000
412,0,960000
413,40000,840000
414,40000,840000
415,-40000,960000
416,40000,920000
417,-40000,840000
418,40000,840000
419,-40000,920000
420,40000,880000
421,0,800000
422,0,880000
423,40000,800000
424,40000,800000
425,0,880000
426,40000,880000
427,-40000,760000
428,40000,760000
429,-40000,880000
430,40000,840000
431,-40000,760000
432,40000,840000
433,-40000,760000
434,40000,840000
435,-40000,720000
436,40000,840000
437,-40000,720000
438,40000,800000
439,0,720000
440,40000,720000
441,0,800000
442,40000,800000
443,-40000,680000
444,40000,680000
445,-40000,800000
446,40000,760000
447,0,680000
448,40000,680000
449,-40000,760000
450,40000,760000
451,-40000,640000
452,40000,720000
453,0,640000
454,40000,720000
455,-40000,640000
456,40000,720000
457,0,640000
458,40000,720000
459,-40000,600000
460,40000,720000
461,0,600000
462,40000,680000
463,-40000,600000
464,0,600000
465,40000,680000
466,40000,680000
467,-40000,560000
468,40000,680000
469,0,560000
470,40000,560000
471,0,680000
472,40000,640000
473,0,560000
474,40000,560000
475,0,640000
476,40000,560000
477,0,640000
478,40000,640000
479,0,520000
480,40000,600000
481,-40000,520000
482,40000,520000
483,0,600000
484,0,520000
485,40000,600000
486,0,520000
487,80000,600000
488,0,600000
489,80000,480000
490,40000,480000
491,-40000,600000
492,40000,560000
493,0,480000
494,40000,560000
495,0,480000
496,40000,480000
497,-40000,560000
498,40000,560000
499,0,440000
500,40000,560000
501,0,440000
502,40000,440000
503,0,560000
504,0,520000
505,80000,440000
506,40000,520000
507,0,440000
508,40000,440000
509,0,520000
510,40000,520000
511,0,400000
512,40000,400000
513,-40000,520000
514,40000,520000
515,0,400000
516,40000,480000
517,-40000,400000
518,40000,480000
519,0,400000
520,40000,480000
521,0,400000
522,40000,400000
523,0,480000
524,40000,480000
525,0,360000
526,0,480000
527,40000,360000
528,40000,480000
529,-40000,360000
530,40000,440000
531,0,360000
532,40000,440000
533,0,360000
534,40000,360000
535,0,480000
536,0,440000
537,40000,360000
538,40000,440000
539,0,320000
540,40000,440000
541,-40000,320000
542,0,320000
543,80000,440000
544,40000,320000
545,0,440000
546,40000,400000
547,0,320000
548,40000,320000
549,0,440000
550,40000,400000
551,0,320000
552,40000,320000
553,0,400000
554,40000,400000
555,0,280000
556,0,400000
557,80000,280000
558,40000,400000
559,0,280000
560,0,400000
561,40000,280000
562,0,280000
563,80000,400000
564,0,280000
565,80000,400000
566,-40000,280000
567,80000,400000
568,0,360000
569,80000,280000
570,0,360000
571,80000,280000
572,0,280000
573,80000,360000
574,0,360000
575,80000,280000
576,0,360000
577,80000,240000
578,0,360000
579,80000,240000
580,0,360000
581,80000,240000
582,0,240000
583,80000,360000
584,0,240000
585,80000,360000
586,40000,240000
587,0,360000
588,0,320000
589,80000,240000
590,0,320000
591,80000,240000
592,0,320000
593,80000,240000
594,0,320000
595,80000,240000
596,0,320000
597,80000,200000
598,0,240000
599,80000,320000
600,0,240000
601,80000,320000
602,0,240000
603,80000,320000
604,0,320000
605,80000,200000
606,0,320000
607,80000,200000
608,0,200000
609,80000,320000
610,0,200000
611,80000,320000
612,40000,280000
613,0,200000
614,0,280000
615,80000,200000
616,0,280000
617,80000,200000
618,0,200000
619,80000,280000
620,0,280000
621,80000,200000
622,0,280000
623,80000,200000
624,0,280000
625,80000,200000
626,0,200000
627,80000,280000
628,0,200000
629,80000,280000
630,0,200000
631,80000,280000
632,0,200000
633,80000,280000
634,0,280000
635,80000,160000
636,0,280000
637,80000,160000
638,0,280000
639,80000,160000
640,0,160000
641,80000,280000
642,0,160000
643,80000,280000
644,0,240000
645,80000,160000
646,0,240000
647,80000,160000
648,0,240000
649,80000,160000
650,0,160000
651,80000,240000
652,0,240000
653,80000,160000
654,0,160000
655,80000,240000
656,0,240000
657,80000,160000
658,0,160000
659,80000,240000
660,0,160000
661,80000,240000
662,0,240000
663,80000,120000
664,0,160000
665,80000,240000
666,0,240000
667,80000,120000
668,0,240000
669,80000,120000
670,0,240000
671,80000,120000
672,0,240000
673,80000,120000
674,0,120000
675,80000,240000
676,0,240000
677,80000,120000
678,0,240000
679,80000,120000
680,0,120000
681,80000,240000
682,0,240000
683,80000,120000
684,0,120000
685,80000,240000
686,0,120000
687,80000,240000
688,0,200000
689,80000,120000
690,0,200000
691,80000,120000
692,0,200000
693,80000,120000
694,0,200000
695,80000,120000
696,0,120000
697,80000,240000
698,0,200000
699,80000,120000
700,0,200000
701,80000,120000
702,0,200000
703,80000,120000
704,0,200000
705,80000,120000
706,0,200000
707,80000,120000
708,0,200000
709,80000,120000
710,0,200000
711,80000,120000
712,0,120000
713,80000,200000
714,0,120000
715,80000,200000
716,0,120000
717,80000,200000
718,0,120000
719,80000,200000
720,0,200000
721,80000,80000
722,0,200000
723,80000,80000
724,0,200000
725,80000,80000
726,0,200000
727,80000,80000
728,80000,200000
729,0,80000
730,0,200000
731,80000,80000
732,0,200000
733,80000,80000
734,0,200000
735,80000,80000
736,0,200000
737,80000,80000
738,0,80000
739,80000,200000
740,0,200000
741,80000,80000
742,0,200000
743,80000,80000
744,80000,80000
745,0,200000
746,0,80000
747,80000,200000
748,0,80000
749,80000,200000
750,0,80000
751,80000,200000
752,80000,80000
753,0,200000
754,80000,80000
755,0,200000
756,80000,80000
757,0,200000
758,0,160000
759,80000,80000
760,0,160000
761,80000,80000
762,0,160000
763,80000,80000
764,0,160000
765,80000,80000
766,0,160000
767,80000,80000
768,0,80000
769,80000,200000
770,0,80000
771,80000,160000
772,0,80000
773,80000,160000
774,0,80000
775,80000,160000
776,0,80000
777,80000,160000
778,0,80000
779,80000,160000
780,0,80000
781,80000,160000
782,0,80000
783,80000,200000
784,0,80000
785,80000,160000
786,0,80000
787,80000,160000
788,0,160000
789,80000,40000
790,0,80000
791,80000,160000
792,0,80000
793,80000,160000
794,0,80000
795,80000,160000
796,0,80000
797,80000,160000
798,0,160000
799,80000,40000
800,0,80000
801,80000,160000
802,80000,80000
803,0,160000
804,0,160000
805,80000,40000
806,0,160000
807,80000,40000
808,0,160000
809,80000,40000
810,0,160000
811,80000,40000
812,0,160000
813,80000,40000
814,0,160000
815,80000,40000
816,0,160000
817,80000,40000
818,0,160000
819,80000,40000
820,0,160000
821,80000,40000
822,0,160000
823,80000,40000
824,80000,160000
825,0,40000
826,0,160000
827,80000,40000
828,0,160000
829,80000,40000
830,0,40000
831,80000,160000
832,0,40000
833,80000,160000
834,0,40000
835,80000,160000
836,80000,40000
837,0,160000
838,0,40000
839,80000,160000
840,0,120000
841,80000,40000
842,0,40000
843,80000,160000
844,0,40000
845,80000,160000
846,0,120000
847,80000,40000
848,0,40000
849,80000,160000
850,80000,40000
851,0,160000
852,0,40000
853,80000,160000
854,0,40000
855,80000,160000
856,0,120000
857,80000,40000
858,0,40000
859,80000,160000
860,0,40000
861,80000,160000
862,80000,120000
863,0,40000
864,0,40000
865,80000,160000
866,0,120000
867,80000,40000
868,0,40000
869,80000,160000
870,0,120000
871,80000,40000
872,0,120000
873,80000,40000
874,0,40000
875,80000,160000
876,0,40000
877,80000,160000
878,0,120000
879,80000,40000
880,0,120000
881,80000,40000
882,0,40000
883,80000,120000
884,0,120000
885,80000,40000
886,0,120000
887,80000,40000
888,80000,40000
889,0,120000
890,0,120000
891,80000,40000
892,0,120000
893,80000,40000
894,80000,120000
895,0,40000
896,80000,120000
897,0,40000
898,80000,120000
899,0,40000
900,0,40000
901,80000,120000
902,0,120000
903,80000,40000
904,0,120000
905,80000,40000
906,0,120000
907,80000,40000
908,0,40000
909,80000,120000
910,0,40000
911,80000,120000
912,0,120000
913,80000,40000
914,80000,120000
915,0,40000
916,0,40000
917,80000,120000
918,0,120000
919,80000,40000
920,0,40000
921,80000,120000
922,0,40000
923,80000,120000
924,0,120000
925,80000,40000
926,0,40000
927,80000,120000
928,0,120000
929,80000,40000
930,0,40000
931,80000,120000
932,0,40000
933,80000,120000
934,0,40000
935,80000,120000
936,0,40000
937,80000,120000
938,0,40000
939,80000,120000
940,80000,40000
941,0,120000
942,0,40000
943,80000,120000
944,0,120000
945,80000,40000
946,0,40000
947,80000,120000
948,80000,40000
949,0,120000
950,0,40000
951,80000,120000
952,0,40000
953,80000,120000
954,0,40000
955,80000,120000
956,0,40000
957,80000,120000
958,80000,40000
959,0,120000
960,0,40000
961,80000,120000
962,0,120000
963,80000,40000
964,0,40000
965,80000,120000
966,0,40000
967,80000,120000
968,0,40000
969,80000,120000
970,0,120000
971,80000,0
972,80000,40000
973,0,120000
974,0,40000
975,80000,120000
976,0,120000
977,80000,40000
978,0,40000
979,80000,120000
980,0,40000
981,80000,120000
982,0,40000
983,80000,120000
984,0,40000
985,80000,120000
986,0,40000
987,80000,120000
988,0,40000
989,80000,120000
990,0,40000
991,80000,120000
992,0,40000
993,80000,120000
994,0,40000
995,80000,120000
996,0,40000
997,80000,120000
998,0,40000
999,80000,120000
1000,0,40000
1001,80000,120000
1002,0,40000
1003,80000,120000
1004,0,40000
