t,Vc
0.00,4.80
0.24,4.00
0.50,3.06
0.74,2.60
1.00,2.08
1.24,1.74
1.50,1.40
2.00,1.00
2.50,0.70
3.00,0.50
4.00,0.28
5.00,0.16
